m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.6957936829567963,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.2,1.6384797862360887,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.3,2.5776802172773396,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.4,3.5129433857049017,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.5,4.4437238255549545,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.6,5.369354225688749,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.7,6.289006199146817,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.8,7.20163387054215,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.9,8.124460256902678,8.488814450957049e-10,1.0,,1.0,1.0
0.2,0.2,0.6384797862360887,7.545612845295155e-10,1.0,1.0,1.0,1.0
0.2,0.3,1.07768021727734,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.4,1.512943385704903,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.5,1.9437238255549547,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.6,2.3693542256887485,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.7,2.7890061991468182,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.8,3.223680689207993,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.9,4.401828373024444,7.545612845295155e-10,1.0,,1.0,1.0
0.3,0.3,0.5776802172773403,6.602411239633259e-10,1.0,1.0,1.0,1.0
0.3,0.4,0.8462767190382364,6.602411239633259e-10,1.0,1.0,1.0,1.0
0.3,0.5,1.110390492221622,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.6,1.369354225688749,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.7,1.640458799262465,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.8,2.045994587032702,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.9,3.4099494362087515,6.602411239633259e-10,1.0,,1.0,1.0
0.4,0.4,0.5129433857049027,5.659209633971366e-10,1.0,1.0,1.0,1.0
0.4,0.5,0.6942122049418012,5.659209633971366e-10,1.0,1.0,1.0,1.0
0.4,0.6,0.8795437847470158,5.659209633971366e-10,1.0,1.0,1.0,1.0
0.4,0.7,1.1012194973732938,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.8,1.4835890505692235,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.9,2.829986971112398,5.659209633971366e-10,1.0,,1.0,1.0
0.5,0.5,0.4437238255549546,4.716008028309471e-10,1.0,1.0,1.0,1.0
0.5,0.6,0.5847910971404157,4.716008028309471e-10,1.0,1.0,1.0,1.0
0.5,0.7,0.7665765271043028,4.716008028309471e-10,1.0,1.0,1.0,1.0
0.5,0.8,1.1061600259786581,4.716008028309471e-10,1.0,,1.0,1.0
0.5,0.9,2.289006199146819,4.716008028309471e-10,1.0,,1.0,1.0
0.6,0.6,0.36935422568874887,3.772806422647577e-10,1.0,1.0,1.0,1.0
0.6,0.7,0.5116199692419677,3.772806422647577e-10,1.0,1.0,1.0,1.0
0.6,0.8,0.7917477838308223,3.772806422647577e-10,1.0,1.0,1.0,1.0
0.6,0.9,1.7462739719496303,3.772806422647577e-10,1.0,,1.0,1.0
0.7,0.7,0.28900619914681797,2.8296048169856833e-10,1.0,1.0,1.0,1.0
0.7,0.8,0.4962739719496296,2.8296048169856833e-10,1.0,1.0,1.0,1.0
0.7,0.9,1.201633870542148,2.8296048169856833e-10,1.0,,1.0,1.0
0.8,0.8,0.201633870542148,1.8864032113237884e-10,1.0,1.0,1.0,1.0
0.8,0.9,0.6549075383306459,1.8864032113237884e-10,1.0,1.0,1.0,1.0
0.9,0.9,0.10589037675178095,9.432016056618942e-11,1.0,1.0,1.0,1.0
0.01,0.01,0.7447096965162275,9.337695896052754e-10,1.0,1.0,1.0,1.0
0.01,0.02,1.7393912568063583,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.03,2.7340443799871026,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.04,3.7286687603228263,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.05,4.7232640871206675,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.06,5.717830044622759,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.07,6.712366311895555,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.08,7.706872562716085,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.09,8.701348465455066,9.337695896052754e-10,1.0,,1.0,1.0
