m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.8069717828662295,1.0480017840687711e-09,1.0,1.0,1.0,1.0
0.1,0.2,,1.0480017840687711e-09,,,,
0.1,0.3,,1.0480017840687711e-09,,,,
0.1,0.4,,1.0480017840687711e-09,,,,
0.1,0.5,,1.0480017840687711e-09,,,,
0.1,0.6,,1.0480017840687711e-09,,,,
0.1,0.7,,1.0480017840687711e-09,,,,
0.1,0.8,,1.0480017840687711e-09,,,,
0.1,0.9,,1.0480017840687711e-09,,,,
0.2,0.2,0.8739050240436923,1.1790020070773678e-09,1.0,1.0,1.0,1.0
0.2,0.3,0.34057138791833685,1.1790020070773678e-09,1.0,1.0,1.0,1.0
0.2,0.4,,1.1790020070773678e-09,,,,
0.2,0.5,,1.1790020070773678e-09,,,,
0.2,0.6,,1.1790020070773678e-09,,,,
0.2,0.7,,1.1790020070773678e-09,,,,
0.2,0.8,,1.1790020070773678e-09,,,,
0.2,0.9,,1.1790020070773678e-09,,,,
0.3,0.3,0.9538617424956807,1.3474308652312782e-09,1.0,1.0,1.0,1.0
0.3,0.4,0.6213797386317867,1.3474308652312782e-09,1.0,1.0,1.0,1.0
0.3,0.5,0.16025324151645817,1.3474308652312782e-09,1.0,1.0,1.0,1.0
0.3,0.6,,1.3474308652312782e-09,,,,
0.3,0.7,,1.3474308652312782e-09,,,,
0.3,0.8,,1.3474308652312782e-09,,,,
0.3,0.9,,1.3474308652312782e-09,,,,
0.4,0.4,1.051404215356737,1.572002676103157e-09,1.0,,1.0,1.0
0.4,0.5,0.8305754872671981,1.572002676103157e-09,1.0,1.0,1.0,1.0
0.4,0.6,0.5266041229989408,1.572002676103157e-09,1.0,1.0,1.0,1.0
0.4,0.7,,1.572002676103157e-09,,,,
0.4,0.8,,1.572002676103157e-09,,,,
0.4,0.9,,1.572002676103157e-09,,,,
0.5,0.5,1.1737197714286778,1.8864032113237885e-09,1.0,,1.0,1.0
0.5,0.6,1.0087843406163954,1.8864032113237885e-09,1.0,,1.0,1.0
0.5,0.7,0.7193207640249707,1.8864032113237885e-09,1.0,1.0,1.0,1.0
0.5,0.8,,1.8864032113237885e-09,,,,
0.5,0.9,,1.8864032113237885e-09,,,,
0.6,0.6,1.3330254431915556,2.3580040141547357e-09,1.0,,1.0,1.0
0.6,0.7,1.1673812931642664,2.3580040141547357e-09,1.0,,1.0,1.0
0.6,0.8,0.6583579414695853,2.3580040141547357e-09,1.0,1.0,1.0,1.0
0.6,0.9,,2.3580040141547357e-09,,,,
0.7,0.7,1.5525147767583147,3.144005352206314e-09,1.0,,1.0,1.0
0.7,0.8,1.2795120173702066,3.144005352206314e-09,1.0,,1.0,1.0
0.7,0.9,,3.144005352206314e-09,,,,
0.8,0.8,1.8847943478092724,4.716008028309472e-09,1.0,,1.0,1.0
0.8,0.9,1.0624677946354186,4.716008028309472e-09,1.0,,1.0,1.0
0.9,0.9,2.4989739206499495,9.432016056618944e-09,1.0,,1.0,1.0
0.01,0.01,0.7553154785600693,9.527288946079735e-10,1.0,1.0,1.0,1.0
0.01,0.02,,9.527288946079735e-10,,,,
0.01,0.03,,9.527288946079735e-10,,,,
0.01,0.04,,9.527288946079735e-10,,,,
0.01,0.05,,9.527288946079735e-10,,,,
0.01,0.06,,9.527288946079735e-10,,,,
0.01,0.07,,9.527288946079735e-10,,,,
0.01,0.08,,9.527288946079735e-10,,,,
0.01,0.09,,9.527288946079735e-10,,,,
0.02,0.02,0.7607104671594171,9.624506180223408e-10,1.0,1.0,1.0,1.0
0.02,0.03,0.25681791613502863,9.624506180223408e-10,1.0,1.0,1.0,1.0
0.02,0.04,,9.624506180223408e-10,,,,
0.02,0.05,,9.624506180223408e-10,,,,
0.02,0.06,,9.624506180223408e-10,,,,
0.02,0.07,,9.624506180223408e-10,,,,
0.02,0.08,,9.624506180223408e-10,,,,
0.02,0.09,,9.624506180223408e-10,,,,
0.03,0.03,0.7661868435398466,9.723727893421588e-10,1.0,1.0,1.0,1.0
0.03,0.04,0.43076511872452083,9.723727893421588e-10,1.0,1.0,1.0,1.0
0.03,0.05,0.08753269075110771,9.723727893421588e-10,1.0,1.0,1.0,1.0
0.03,0.06,,9.723727893421588e-10,,,,
0.03,0.07,,9.723727893421588e-10,,,,
0.03,0.08,,9.723727893421588e-10,,,,
0.03,0.09,,9.723727893421588e-10,,,,
0.04,0.04,0.7717465474126294,9.825016725644732e-10,1.0,1.0,1.0,1.0
0.04,0.05,0.5204973959612335,9.825016725644732e-10,1.0,1.0,1.0,1.0
0.04,0.06,0.26402035139162594,9.825016725644732e-10,1.0,1.0,1.0,1.0
0.04,0.07,,9.825016725644732e-10,,,,
0.04,0.08,,9.825016725644732e-10,,,,
0.04,0.09,,9.825016725644732e-10,,,,
0.05,0.05,0.7773915831242767,9.92843795433573e-10,1.0,1.0,1.0,1.0
0.05,0.06,0.576645047658074,9.92843795433573e-10,1.0,1.0,1.0,1.0
0.05,0.07,0.37198433591472824,9.92843795433573e-10,1.0,1.0,1.0,1.0
0.05,0.08,0.16203957645189002,9.92843795433573e-10,1.0,1.0,1.0,1.0
0.05,0.09,,9.92843795433573e-10,,,,
0.06,0.06,0.7831240224650742,1.0034059634701004e-09,1.0,1.0,1.0,1.0
0.06,0.07,0.6160581545652525,1.0034059634701004e-09,1.0,1.0,1.0,1.0
0.06,0.08,0.4458673922789825,1.0034059634701004e-09,1.0,1.0,1.0,1.0
0.06,0.09,0.27164097830667755,1.0034059634701004e-09,1.0,1.0,1.0,1.0
0.07,0.07,0.7889460076296084,1.0141952749052624e-09,1.0,1.0,1.0,1.0
0.07,0.08,0.6459533218159645,1.0141952749052624e-09,1.0,1.0,1.0,1.0
0.07,0.09,0.5003605707796762,1.0141952749052624e-09,1.0,1.0,1.0,1.0
0.08,0.08,0.7948597543391812,1.0252191365890155e-09,1.0,1.0,1.0,1.0
0.08,0.09,0.669938134530595,1.0252191365890155e-09,1.0,1.0,1.0,1.0
0.09,0.09,0.8008675551368,1.0364852809471368e-09,1.0,1.0,1.0,1.0
0.11,0.11,0.8131748943475189,1.0597770850133643e-09,1.0,1.0,1.0,1.0
0.12,0.12,0.8194794342623783,1.071820006433971e-09,1.0,1.0,1.0,1.0
