m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.2276317642164649,2.0250405006075078e-10,0.93,0.536,0.866,0.792
0.1,0.2,1.204751720390425,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.3,2.181335897592665,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.4,3.1573586003831196,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.5,4.132792239318897,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.6,5.1076071401137195,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.7,6.08177132813837,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.8,7.055250284336993,2.0250405006075078e-10,1.0,,1.0,1.0
0.1,0.9,8.029507033393072,2.0250405006075078e-10,1.0,,1.0,1.0
0.2,0.2,0.20475172039042486,1.8000360005400076e-10,0.904,0.522,0.844,0.758
0.2,0.3,0.6813358975926657,1.8000360005400076e-10,1.0,0.826,0.99,0.99
0.2,0.4,1.1573586003831198,1.8000360005400076e-10,1.0,,1.0,1.0
0.2,0.5,1.632792239318899,1.8000360005400076e-10,1.0,,1.0,1.0
0.2,0.6,2.1076071401137213,1.8000360005400076e-10,1.0,,1.0,1.0
0.2,0.7,2.5817713281383705,1.8000360005400076e-10,1.0,,1.0,1.0
0.2,0.8,3.0573522448022388,1.8000360005400076e-10,1.0,,1.0,1.0
0.2,0.9,4.184423931697394,1.8000360005400076e-10,1.0,,1.0,1.0
0.3,0.3,0.1813358975926658,1.5750315004725067e-10,0.898,0.488,0.832,0.722
0.3,0.4,0.49069193371645264,1.5750315004725067e-10,0.998,0.738,0.978,0.948
0.3,0.5,0.7994589059855651,1.5750315004725067e-10,1.0,0.864,0.996,0.992
0.3,0.6,1.107607140113722,1.5750315004725067e-10,1.0,,1.0,1.0
0.3,0.7,1.4170752389268555,1.5750315004725067e-10,1.0,,1.0,1.0
0.3,0.8,1.8318256398571757,1.5750315004725067e-10,1.0,,1.0,1.0
0.3,0.9,3.1680653810118526,1.5750315004725067e-10,1.0,,1.0,1.0
0.4,0.4,0.1573586003831194,1.3500270004050055e-10,0.85,0.466,0.8,0.706
0.4,0.5,0.3827922393188983,1.3500270004050055e-10,0.994,0.67,0.958,0.91
0.4,0.6,0.608842815911888,1.3500270004050055e-10,0.998,0.8,0.984,0.982
0.4,0.7,0.8614405358423055,1.3500270004050055e-10,1.0,0.872,0.996,0.996
0.4,0.8,1.2587587916218517,1.3500270004050055e-10,1.0,,1.0,1.0
0.4,0.9,2.5947726679531735,1.3500270004050055e-10,1.0,,1.0,1.0
0.5,0.5,0.13279223931889822,1.1250225003375047e-10,0.81,0.422,0.754,0.67
0.5,0.6,0.31363298754965957,1.1250225003375047e-10,0.988,0.606,0.94,0.876
0.5,0.7,0.5281196739639038,1.1250225003375047e-10,0.998,0.772,0.976,0.956
0.5,0.8,0.8877165533807067,1.1250225003375047e-10,1.0,0.882,0.998,0.996
0.5,0.9,2.0817713281383723,1.1250225003375047e-10,1.0,,1.0,1.0
0.6,0.6,0.10760714011372241,9.000180002700038e-11,0.77,0.388,0.684,0.548
0.6,0.7,0.3186641024073341,9.000180002700038e-11,0.988,0.62,0.936,0.886
0.6,0.8,0.5900686112809056,9.000180002700038e-11,0.996,0.79,0.986,0.98
0.6,0.9,1.5685987243816586,9.000180002700038e-11,1.0,,1.0,1.0
0.7,0.7,0.08177132813837003,6.750135002025028e-11,0.68,0.31,0.574,0.458
0.7,0.8,0.37858161294290865,6.750135002025028e-11,0.994,0.664,0.954,0.906
0.7,0.9,1.0552502843369957,6.750135002025028e-11,1.0,,1.0,0.996
0.8,0.8,0.055250284336995255,4.5000900013500165e-11,0.56,0.22,0.438,0.36
0.8,0.9,0.5417212500717896,4.5000900013500165e-11,0.992,0.758,0.976,0.97
0.9,0.9,0.028006667885320094,2.2500450006750082e-11,0.372,0.092,0.212,0.222
0.01,0.01,0.2477855577623473,2.2275445506682583e-10,0.924,0.562,0.864,0.794
0.01,0.02,1.2455662008850723,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.03,2.243341907504956,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.04,3.241112655612566,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.05,4.238878423050941,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.06,5.23663918751428,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.07,6.234394926546605,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.08,7.232145617540397,2.2275445506682583e-10,1.0,,1.0,1.0
0.01,0.09,8.229891237735247,2.2275445506682583e-10,1.0,,1.0,1.0
0.02,0.02,0.24556620088507244,2.2050441006615078e-10,0.93,0.562,0.856,0.8
0.02,0.03,0.7433419075049564,2.2050441006615078e-10,1.0,0.824,0.988,0.996
0.02,0.04,1.2411126556125651,2.2050441006615078e-10,1.0,,1.0,1.0
0.02,0.05,1.7388784230509404,2.2050441006615078e-10,1.0,,1.0,1.0
0.02,0.06,2.236639187514281,2.2050441006615078e-10,1.0,,1.0,1.0
