m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.25,2.2500450006750095e-10,0.724,0.536,0.708,0.654
0.1,0.2,0.25,2.2500450006750095e-10,0.646,0.53,0.674,0.648
0.1,0.3,0.25,2.2500450006750095e-10,0.61,0.464,0.6,0.572
0.1,0.4,0.25,2.2500450006750095e-10,0.538,0.384,0.532,0.526
0.1,0.5,0.25,2.2500450006750095e-10,0.51,0.366,0.476,0.494
0.1,0.6,0.25,2.2500450006750095e-10,0.422,0.304,0.41,0.41
0.1,0.7,0.25,2.2500450006750095e-10,0.366,0.272,0.384,0.328
0.1,0.8,0.25,2.2500450006750095e-10,0.314,0.222,0.32,0.268
0.1,0.9,0.25,2.2500450006750095e-10,0.258,0.144,0.25,0.226
0.2,0.2,0.25,2.2500450006750095e-10,0.646,0.512,0.654,0.632
0.2,0.3,0.25,2.2500450006750095e-10,0.622,0.45,0.61,0.57
0.2,0.4,0.25,2.2500450006750095e-10,0.552,0.392,0.528,0.516
0.2,0.5,0.25,2.2500450006750095e-10,0.5,0.35,0.486,0.496
0.2,0.6,0.25,2.2500450006750095e-10,0.434,0.302,0.432,0.414
0.2,0.7,0.25,2.2500450006750095e-10,0.38,0.27,0.368,0.342
0.2,0.8,0.25,2.2500450006750095e-10,0.322,0.232,0.33,0.254
0.2,0.9,0.25,2.2500450006750095e-10,0.24,0.148,0.244,0.234
0.3,0.3,0.25,2.2500450006750095e-10,0.582,0.456,0.586,0.578
0.3,0.4,0.25,2.2500450006750095e-10,0.556,0.402,0.524,0.516
0.3,0.5,0.25,2.2500450006750095e-10,0.484,0.358,0.48,0.466
0.3,0.6,0.25,2.2500450006750095e-10,0.422,0.29,0.394,0.422
0.3,0.7,0.25,2.2500450006750095e-10,0.364,0.27,0.35,0.332
0.3,0.8,0.25,2.2500450006750095e-10,0.334,0.214,0.302,0.278
0.3,0.9,0.25,2.2500450006750095e-10,0.258,0.138,0.236,0.212
0.4,0.4,0.25,2.2500450006750095e-10,0.55,0.398,0.536,0.524
0.4,0.5,0.25,2.2500450006750095e-10,0.482,0.36,0.478,0.466
0.4,0.6,0.25,2.2500450006750095e-10,0.434,0.286,0.382,0.422
0.4,0.7,0.25,2.2500450006750095e-10,0.372,0.27,0.346,0.32
0.4,0.8,0.25,2.2500450006750095e-10,0.33,0.206,0.292,0.28
0.4,0.9,0.25,2.2500450006750095e-10,0.24,0.132,0.228,0.21
0.5,0.5,0.25,2.2500450006750095e-10,0.478,0.356,0.478,0.47
0.5,0.6,0.25,2.2500450006750095e-10,0.41,0.31,0.372,0.402
0.5,0.7,0.25,2.2500450006750095e-10,0.362,0.26,0.366,0.352
0.5,0.8,0.25,2.2500450006750095e-10,0.3,0.214,0.29,0.264
0.5,0.9,0.25,2.2500450006750095e-10,0.238,0.132,0.224,0.212
0.6,0.6,0.25,2.2500450006750095e-10,0.408,0.312,0.396,0.392
0.6,0.7,0.25,2.2500450006750095e-10,0.364,0.268,0.358,0.348
0.6,0.8,0.25,2.2500450006750095e-10,0.284,0.208,0.28,0.242
0.6,0.9,0.25,2.2500450006750095e-10,0.23,0.124,0.218,0.194
