m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.22599999999999998,-0.014000000000000012,-0.18000000000000005,-0.16599999999999993,-0.21999999999999997,0.013999999999999901,-0.16800000000000004,-0.15799999999999992,-0.20600000000000007,-0.0,-0.15800000000000003,-0.138
0.1,0.2,-0.29000000000000004,-0.0040000000000000036,-0.21599999999999997,-0.17199999999999993,,,,,-0.354,,-0.32599999999999996,-0.352
0.1,0.3,-0.33999999999999997,-0.08800000000000002,-0.29000000000000004,-0.248,,,,,-0.39,,-0.4,-0.42800000000000005
0.1,0.4,-0.398,-0.14800000000000002,-0.356,-0.29399999999999993,,,,,-0.46199999999999997,,-0.46799999999999997,-0.474
0.1,0.5,-0.43999999999999995,-0.18600000000000005,-0.41400000000000003,-0.32599999999999996,,,,,-0.49,,-0.524,-0.506
0.1,0.6,-0.514,-0.22600000000000003,-0.47800000000000004,-0.412,,,,,-0.5780000000000001,,-0.5900000000000001,-0.5900000000000001
0.1,0.7,-0.584,-0.28,-0.506,-0.48999999999999994,,,,,-0.634,,-0.616,-0.6719999999999999
0.1,0.8,-0.6220000000000001,-0.30800000000000005,-0.5680000000000001,-0.5539999999999999,,,,,-0.6859999999999999,,-0.6799999999999999,-0.732
0.1,0.9,-0.692,-0.41000000000000003,-0.64,-0.592,,,,,-0.742,,-0.75,-0.774
0.2,0.2,-0.29000000000000004,-0.018000000000000016,-0.238,-0.18999999999999995,-0.29000000000000004,-0.026000000000000023,-0.236,-0.19799999999999995,-0.258,-0.010000000000000009,-0.18999999999999995,-0.126
0.2,0.3,-0.32799999999999996,-0.10400000000000004,-0.276,-0.248,,,,,-0.378,-0.37599999999999995,-0.38,-0.42000000000000004
0.2,0.4,-0.384,-0.138,-0.364,-0.30599999999999994,,,,,-0.44799999999999995,,-0.472,-0.484
0.2,0.5,-0.45199999999999996,-0.20200000000000007,-0.4,-0.32599999999999996,,,,,-0.5,,-0.514,-0.504
0.2,0.6,-0.5,-0.23200000000000004,-0.46,-0.40399999999999997,,,,,-0.5660000000000001,,-0.5680000000000001,-0.5860000000000001
0.2,0.7,-0.572,-0.278,-0.518,-0.48199999999999993,,,,,-0.62,,-0.632,-0.6579999999999999
0.2,0.8,-0.6120000000000001,-0.30600000000000005,-0.5640000000000001,-0.564,,,,,-0.6779999999999999,,-0.6699999999999999,-0.746
0.2,0.9,-0.712,-0.398,-0.64,-0.588,,,,,-0.76,,-0.756,-0.766
0.3,0.3,-0.3520000000000001,-0.08200000000000002,-0.30800000000000005,-0.24,-0.32800000000000007,-0.03600000000000003,-0.29400000000000004,-0.23199999999999998,-0.31600000000000006,-0.03199999999999997,-0.246,-0.14400000000000002
0.3,0.4,-0.3959999999999999,-0.14400000000000002,-0.362,-0.30599999999999994,,,,,-0.44199999999999995,-0.33599999999999997,-0.45399999999999996,-0.43199999999999994
0.3,0.5,-0.45200000000000007,-0.18000000000000005,-0.41200000000000003,-0.3519999999999999,,,,,-0.516,-0.506,-0.516,-0.526
0.3,0.6,-0.528,-0.25400000000000006,-0.494,-0.39999999999999997,,,,,-0.5780000000000001,,-0.606,-0.5780000000000001
0.3,0.7,-0.5720000000000001,-0.27,-0.542,-0.48599999999999993,,,,,-0.636,,-0.65,-0.6679999999999999
0.3,0.8,-0.6159999999999999,-0.3320000000000001,-0.5840000000000001,-0.5439999999999999,,,,,-0.6659999999999999,,-0.698,-0.722
0.3,0.9,-0.678,-0.4,-0.656,-0.606,,,,,-0.742,,-0.764,-0.788
0.4,0.4,-0.3999999999999999,-0.14600000000000002,-0.35,-0.29999999999999993,-0.376,-0.07600000000000001,-0.33199999999999996,-0.252,-0.29999999999999993,-0.068,-0.264,-0.18199999999999994
