m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.5,2.2500450006750095e-10,0.998,0.746,0.984,0.954
0.1,0.2,0.5,2.2500450006750095e-10,0.996,0.75,0.974,0.956
0.1,0.3,0.5,2.2500450006750095e-10,0.998,0.748,0.984,0.954
0.1,0.4,0.5,2.2500450006750095e-10,0.996,0.75,0.974,0.956
0.1,0.5,0.5,2.2500450006750095e-10,0.998,0.748,0.984,0.954
0.1,0.6,0.5,2.2500450006750095e-10,0.996,0.748,0.974,0.958
0.1,0.7,0.5,2.2500450006750095e-10,0.998,0.748,0.984,0.952
0.1,0.8,0.5,2.2500450006750095e-10,0.996,0.748,0.974,0.958
0.1,0.9,0.5,2.2500450006750095e-10,0.998,0.75,0.984,0.952
0.2,0.2,0.5,2.2500450006750095e-10,0.996,0.746,0.978,0.958
0.2,0.3,0.5,2.2500450006750095e-10,0.998,0.75,0.98,0.952
0.2,0.4,0.5,2.2500450006750095e-10,0.996,0.746,0.978,0.958
0.2,0.5,0.5,2.2500450006750095e-10,0.998,0.75,0.98,0.952
0.2,0.6,0.5,2.2500450006750095e-10,0.996,0.746,0.978,0.958
0.2,0.7,0.5,2.2500450006750095e-10,0.998,0.75,0.98,0.952
0.2,0.8,0.5,2.2500450006750095e-10,0.996,0.748,0.98,0.958
0.2,0.9,0.5,2.2500450006750095e-10,0.998,0.748,0.978,0.952
0.3,0.3,0.5,2.2500450006750095e-10,0.996,0.748,0.98,0.958
0.3,0.4,0.5,2.2500450006750095e-10,0.998,0.748,0.978,0.952
0.3,0.5,0.5,2.2500450006750095e-10,0.996,0.748,0.98,0.958
0.3,0.6,0.5,2.2500450006750095e-10,0.998,0.748,0.978,0.952
0.3,0.7,0.5,2.2500450006750095e-10,0.996,0.75,0.98,0.958
0.3,0.8,0.5,2.2500450006750095e-10,0.998,0.75,0.978,0.952
0.3,0.9,0.5,2.2500450006750095e-10,0.996,0.748,0.98,0.958
0.4,0.4,0.5,2.2500450006750095e-10,0.998,0.748,0.978,0.954
0.4,0.5,0.5,2.2500450006750095e-10,0.996,0.75,0.98,0.956
0.4,0.6,0.5,2.2500450006750095e-10,0.998,0.746,0.978,0.954
0.4,0.7,0.5,2.2500450006750095e-10,0.996,0.75,0.98,0.956
0.4,0.8,0.5,2.2500450006750095e-10,0.998,0.748,0.978,0.956
0.4,0.9,0.5,2.2500450006750095e-10,0.996,0.748,0.982,0.954
0.5,0.5,0.5,2.2500450006750095e-10,0.998,0.75,0.976,0.956
0.5,0.6,0.5,2.2500450006750095e-10,0.996,0.746,0.982,0.954
0.5,0.7,0.5,2.2500450006750095e-10,0.998,0.752,0.976,0.956
0.5,0.8,0.5,2.2500450006750095e-10,0.996,0.746,0.982,0.954
0.5,0.9,0.5,2.2500450006750095e-10,0.998,0.75,0.976,0.956
0.6,0.6,0.5,2.2500450006750095e-10,0.996,0.746,0.982,0.954
0.6,0.7,0.5,2.2500450006750095e-10,0.998,0.75,0.976,0.956
0.6,0.8,0.5,2.2500450006750095e-10,0.996,0.75,0.982,0.956
0.6,0.9,0.5,2.2500450006750095e-10,0.998,0.746,0.976,0.954
0.7,0.7,0.5,2.2500450006750095e-10,0.996,0.75,0.982,0.956
0.7,0.8,0.5,2.2500450006750095e-10,0.998,0.748,0.976,0.954
0.7,0.9,0.5,2.2500450006750095e-10,0.996,0.748,0.982,0.956
0.8,0.8,0.5,2.2500450006750095e-10,0.996,0.74,0.976,0.952
0.8,0.9,0.5,2.2500450006750095e-10,0.998,0.684,0.976,0.968
