m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,2.0,2.2500450006750095e-10,0.746,,0.74,0.744
0.1,0.2,2.0,2.2500450006750095e-10,0.65,,0.642,0.664
0.1,0.3,2.0,2.2500450006750095e-10,0.594,,0.608,0.596
0.1,0.4,2.0,2.2500450006750095e-10,0.526,,0.516,0.52
0.1,0.5,2.0,2.2500450006750095e-10,0.49,,0.486,0.486
0.1,0.6,2.0,2.2500450006750095e-10,0.436,,0.432,0.43
0.1,0.7,2.0,2.2500450006750095e-10,0.434,,0.412,0.408
0.1,0.8,2.0,2.2500450006750095e-10,0.344,,0.338,0.344
0.1,0.9,2.0,2.2500450006750095e-10,0.284,,0.282,0.266
0.2,0.2,2.0,2.2500450006750095e-10,0.64,,0.644,0.654
0.2,0.3,2.0,2.2500450006750095e-10,0.592,,0.608,0.594
0.2,0.4,2.0,2.2500450006750095e-10,0.524,,0.524,0.5
0.2,0.5,2.0,2.2500450006750095e-10,0.474,,0.478,0.482
0.2,0.6,2.0,2.2500450006750095e-10,0.426,,0.434,0.426
0.2,0.7,2.0,2.2500450006750095e-10,0.42,,0.404,0.41
0.2,0.8,2.0,2.2500450006750095e-10,0.344,,0.342,0.35
0.2,0.9,2.0,2.2500450006750095e-10,0.278,,0.28,0.258
0.3,0.3,2.0,2.2500450006750095e-10,0.562,,0.576,0.572
0.3,0.4,2.0,2.2500450006750095e-10,0.524,,0.516,0.528
0.3,0.5,2.0,2.2500450006750095e-10,0.456,,0.454,0.462
0.3,0.6,2.0,2.2500450006750095e-10,0.426,,0.43,0.418
0.3,0.7,2.0,2.2500450006750095e-10,0.396,,0.392,0.402
0.3,0.8,2.0,2.2500450006750095e-10,0.354,,0.334,0.356
0.3,0.9,2.0,2.2500450006750095e-10,0.264,,0.264,0.264
0.4,0.4,2.0,2.2500450006750095e-10,0.52,,0.52,0.504
0.4,0.5,2.0,2.2500450006750095e-10,0.45,,0.468,0.452
0.4,0.6,2.0,2.2500450006750095e-10,0.414,,0.424,0.422
0.4,0.7,2.0,2.2500450006750095e-10,0.388,,0.38,0.388
0.4,0.8,2.0,2.2500450006750095e-10,0.342,,0.346,0.368
0.4,0.9,2.0,2.2500450006750095e-10,0.248,,0.268,0.26
0.5,0.5,2.0,2.2500450006750095e-10,0.494,,0.488,0.466
0.5,0.6,2.0,2.2500450006750095e-10,0.414,,0.418,0.424
0.5,0.7,2.0,2.2500450006750095e-10,0.39,,0.38,0.382
0.5,0.8,2.0,2.2500450006750095e-10,0.358,,0.35,0.35
0.5,0.9,2.0,2.2500450006750095e-10,0.276,,0.262,0.278
0.6,0.6,2.0,2.2500450006750095e-10,0.4,,0.404,0.412
0.6,0.7,2.0,2.2500450006750095e-10,0.392,,0.392,0.39
0.6,0.8,2.0,2.2500450006750095e-10,0.336,,0.346,0.344
0.6,0.9,2.0,2.2500450006750095e-10,0.266,,0.254,0.264
0.7,0.7,2.0,2.2500450006750095e-10,0.362,,0.356,0.358
0.7,0.8,2.0,2.2500450006750095e-10,0.346,,0.352,0.362
0.7,0.9,2.0,2.2500450006750095e-10,0.248,,0.24,0.244
0.8,0.8,2.0,2.2500450006750095e-10,0.356,,0.344,0.348
0.8,0.9,2.0,2.2500450006750095e-10,0.248,,0.25,0.238
0.9,0.9,2.0,2.2500450006750095e-10,0.256,,0.254,0.256
0.01,0.01,2.0,2.2500450006750095e-10,0.976,,0.97,0.966
0.01,0.02,2.0,2.2500450006750095e-10,0.934,,0.928,0.914
0.01,0.03,2.0,2.2500450006750095e-10,0.896,,0.892,0.888
0.01,0.04,2.0,2.2500450006750095e-10,0.864,,0.868,0.868
0.01,0.05,2.0,2.2500450006750095e-10,0.858,,0.86,0.86
0.01,0.06,2.0,2.2500450006750095e-10,0.8,,0.802,0.792
0.01,0.07,2.0,2.2500450006750095e-10,0.828,,0.814,0.82
0.01,0.08,2.0,2.2500450006750095e-10,0.782,,0.784,0.776
0.01,0.09,2.0,2.2500450006750095e-10,0.788,,0.79,0.788
0.02,0.02,2.0,2.2500450006750095e-10,0.936,,0.92,0.916
0.02,0.03,2.0,2.2500450006750095e-10,0.896,,0.884,0.886
0.02,0.04,2.0,2.2500450006750095e-10,0.864,,0.854,0.858
0.02,0.05,2.0,2.2500450006750095e-10,0.862,,0.864,0.858
0.02,0.06,2.0,2.2500450006750095e-10,0.804,,0.796,0.788
0.02,0.07,2.0,2.2500450006750095e-10,0.836,,0.824,0.824
0.02,0.08,2.0,2.2500450006750095e-10,0.778,,0.782,0.776
0.02,0.09,2.0,2.2500450006750095e-10,0.794,,0.794,0.798
0.03,0.03,2.0,2.2500450006750095e-10,0.878,,0.87,0.864
0.03,0.04,2.0,2.2500450006750095e-10,0.866,,0.858,0.858
0.03,0.05,2.0,2.2500450006750095e-10,0.85,,0.852,0.842
0.03,0.06,2.0,2.2500450006750095e-10,0.818,,0.804,0.81
0.03,0.07,2.0,2.2500450006750095e-10,0.806,,0.8,0.79
0.03,0.08,2.0,2.2500450006750095e-10,0.8,,0.794,0.798
0.03,0.09,2.0,2.2500450006750095e-10,0.778,,0.788,0.774
0.04,0.04,2.0,2.2500450006750095e-10,0.86,,0.862,0.862
0.04,0.05,2.0,2.2500450006750095e-10,0.842,,0.848,0.838
0.04,0.06,2.0,2.2500450006750095e-10,0.808,,0.808,0.808
0.04,0.07,2.0,2.2500450006750095e-10,0.798,,0.8,0.786
0.04,0.08,2.0,2.2500450006750095e-10,0.8,,0.786,0.788
0.04,0.09,2.0,2.2500450006750095e-10,0.78,,0.774,0.772
0.05,0.05,2.0,2.2500450006750095e-10,0.854,,0.86,0.854
0.05,0.06,2.0,2.2500450006750095e-10,0.79,,0.792,0.796
0.05,0.07,2.0,2.2500450006750095e-10,0.824,,0.812,0.808
0.05,0.08,2.0,2.2500450006750095e-10,0.79,,0.798,0.798
0.05,0.09,2.0,2.2500450006750095e-10,0.784,,0.782,0.778
0.06,0.06,2.0,2.2500450006750095e-10,0.788,,0.794,0.796
0.06,0.07,2.0,2.2500450006750095e-10,0.82,,0.808,0.802
0.06,0.08,2.0,2.2500450006750095e-10,0.792,,0.782,0.782
0.06,0.09,2.0,2.2500450006750095e-10,0.794,,0.794,0.792
0.07,0.07,2.0,2.2500450006750095e-10,0.792,,0.79,0.786
0.07,0.08,2.0,2.2500450006750095e-10,0.778,,0.774,0.784
0.07,0.09,2.0,2.2500450006750095e-10,0.77,,0.76,0.758
0.08,0.08,2.0,2.2500450006750095e-10,0.77,,0.764,0.772
0.08,0.09,2.0,2.2500450006750095e-10,0.762,,0.75,0.756
0.09,0.09,2.0,2.2500450006750095e-10,0.784,,0.768,0.778
0.11,0.11,2.0,2.2500450006750095e-10,0.718,,0.708,0.7
0.12,0.12,2.0,2.2500450006750095e-10,0.71,,0.7,0.704
0.13,0.13,2.0,2.2500450006750095e-10,0.686,,0.688,0.69
0.14,0.14,2.0,2.2500450006750095e-10,0.662,,0.672,0.684
0.15,0.15,2.0,2.2500450006750095e-10,0.672,,0.676,0.69
0.16,0.16,2.0,2.2500450006750095e-10,0.652,,0.646,0.668
0.17,0.17,2.0,2.2500450006750095e-10,0.662,,0.652,0.664
0.18,0.18,2.0,2.2500450006750095e-10,0.638,,0.634,0.644
0.19,0.19,2.0,2.2500450006750095e-10,0.654,,0.646,0.648
0.21,0.21,2.0,2.2500450006750095e-10,0.604,,0.602,0.6
0.22,0.22,2.0,2.2500450006750095e-10,0.612,,0.604,0.608
