m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.45985805124959506,2.0250405006075078e-10,1.0,1.0,1.0,0.0
0.1,0.2,1.4180370928606563,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.3,2.374390515085868,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.4,3.328751625269407,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.5,4.280929803620162,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.6,5.230705692735597,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.7,6.177825113937635,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.8,7.121991283339271,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.9,8.069960856551647,2.0250405006075078e-10,1.0,,1.0,0.0
0.2,0.2,0.4180370928606561,1.8000360005400076e-10,1.0,1.0,1.0,0.0
0.2,0.3,0.8743905150858681,1.8000360005400076e-10,1.0,1.0,1.0,0.0
0.2,0.4,1.3287516252694076,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.5,1.7809298036201613,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.6,2.230705692735597,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.7,2.677825113937636,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.8,3.1311913858301987,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.9,4.284565468042477,1.8000360005400076e-10,1.0,,1.0,0.0
0.3,0.3,0.37439051508586846,1.5750315004725067e-10,1.0,1.0,1.0,0.0
0.3,0.4,0.6620849586027407,1.5750315004725067e-10,1.0,1.0,1.0,0.0
0.3,0.5,0.9475964702868284,1.5750315004725067e-10,1.0,1.0,1.0,0.0
0.3,0.6,1.2307056927355975,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.7,1.5192287736285799,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.8,1.929887714963421,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.9,3.2806469044451063,1.5750315004725067e-10,1.0,,1.0,0.0
