m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.8069717828662295,2.50005000075001e-10,1.0,1.0,1.0,0.0
0.1,0.2,,2.50005000075001e-10,,,,
0.1,0.3,,2.50005000075001e-10,,,,
0.1,0.4,,2.50005000075001e-10,,,,
0.1,0.5,,2.50005000075001e-10,,,,
0.1,0.6,,2.50005000075001e-10,,,,
0.1,0.7,,2.50005000075001e-10,,,,
0.1,0.8,,2.50005000075001e-10,,,,
0.1,0.9,,2.50005000075001e-10,,,,
0.2,0.2,0.8739050240436923,2.8125562508437606e-10,1.0,1.0,1.0,0.0
0.2,0.3,0.34057138791833685,2.8125562508437606e-10,1.0,1.0,1.0,0.0
0.2,0.4,,2.8125562508437606e-10,,,,
0.2,0.5,,2.8125562508437606e-10,,,,
0.2,0.6,,2.8125562508437606e-10,,,,
0.2,0.7,,2.8125562508437606e-10,,,,
0.2,0.8,,2.8125562508437606e-10,,,,
0.2,0.9,,2.8125562508437606e-10,,,,
0.3,0.3,0.9538617424956807,3.214350000964299e-10,1.0,1.0,1.0,0.0
0.3,0.4,0.6213797386317867,3.214350000964299e-10,1.0,1.0,1.0,0.0
0.3,0.5,0.16025324151645817,3.214350000964299e-10,1.0,1.0,1.0,0.0
0.3,0.6,,3.214350000964299e-10,,,,
0.3,0.7,,3.214350000964299e-10,,,,
0.3,0.8,,3.214350000964299e-10,,,,
0.3,0.9,,3.214350000964299e-10,,,,
0.4,0.4,1.051404215356737,3.750075001125015e-10,1.0,,1.0,0.0
0.4,0.5,0.8305754872671981,3.750075001125015e-10,1.0,1.0,1.0,0.0
0.4,0.6,0.5266041229989408,3.750075001125015e-10,1.0,1.0,1.0,0.0
0.4,0.7,,3.750075001125015e-10,,,,
0.4,0.8,,3.750075001125015e-10,,,,
0.4,0.9,,3.750075001125015e-10,,,,
0.5,0.5,1.1737197714286778,4.500090001350019e-10,1.0,,1.0,0.0
0.5,0.6,1.0087843406163954,4.500090001350019e-10,1.0,,1.0,0.0
0.5,0.7,0.7193207640249707,4.500090001350019e-10,1.0,1.0,1.0,0.0
0.5,0.8,,4.500090001350019e-10,,,,
0.5,0.9,,4.500090001350019e-10,,,,
0.6,0.6,1.3330254431915556,5.625112501687521e-10,1.0,,1.0,0.0
0.6,0.7,1.1673812931642664,5.625112501687521e-10,1.0,,1.0,0.0
0.6,0.8,0.6583579414695853,5.625112501687521e-10,1.0,1.0,1.0,0.0
0.6,0.9,,5.625112501687521e-10,,,,
0.7,0.7,1.5525147767583147,7.500150002250029e-10,1.0,,1.0,0.0
0.7,0.8,1.2795120173702066,7.500150002250029e-10,1.0,,1.0,0.0
0.7,0.9,,7.500150002250029e-10,,,,
0.8,0.8,1.8847943478092724,1.1250225003375047e-09,1.0,,1.0,0.0
0.8,0.9,1.0624677946354186,1.1250225003375047e-09,1.0,,1.0,0.0
0.9,0.9,2.4989739206499495,2.2500450006750093e-09,1.0,,1.0,0.0
0.01,0.01,0.7553154785600693,2.2727727279545544e-10,1.0,1.0,1.0,0.0
0.01,0.02,,2.2727727279545544e-10,,,,
0.01,0.03,,2.2727727279545544e-10,,,,
0.01,0.04,,2.2727727279545544e-10,,,,
0.01,0.05,,2.2727727279545544e-10,,,,
0.01,0.06,,2.2727727279545544e-10,,,,
0.01,0.07,,2.2727727279545544e-10,,,,
0.01,0.08,,2.2727727279545544e-10,,,,
0.01,0.09,,2.2727727279545544e-10,,,,
0.02,0.02,0.7607104671594171,2.295964286403071e-10,1.0,1.0,1.0,0.0
0.02,0.03,0.25681791613502863,2.295964286403071e-10,1.0,1.0,1.0,0.0
