m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.9347016640011662,2.0250405006075078e-10,1.0,1.0,1.0,0.0
0.1,0.2,1.8648397251631903,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.3,2.789728043577632,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.4,3.708513066862316,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.5,4.620114506958276,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.6,5.523137163611585,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.7,6.415735221843628,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.8,7.295394529120346,2.0250405006075078e-10,1.0,,1.0,0.0
0.1,0.9,8.195987029498752,2.0250405006075078e-10,1.0,,1.0,0.0
0.2,0.2,0.86483972516319,1.8000360005400076e-10,1.0,1.0,1.0,0.0
0.2,0.3,1.289728043577631,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.4,1.7085130668623156,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.5,2.1201145069582776,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.6,2.5231371636115854,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.7,2.915735221843628,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.8,3.3359931249441237,1.8000360005400076e-10,1.0,,1.0,0.0
0.2,0.9,4.536418382828267,1.8000360005400076e-10,1.0,,1.0,0.0
0.3,0.3,0.7897280435776313,1.5750315004725067e-10,1.0,1.0,1.0,0.0
0.3,0.4,1.0418464001956487,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.5,1.2867811736249446,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.6,1.5238551221072782,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.7,1.7804540248006582,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.8,2.1802663867405028,1.5750315004725067e-10,1.0,,1.0,0.0
0.3,0.9,3.555753648618441,1.5750315004725067e-10,1.0,,1.0,0.0
0.4,0.4,0.7085130668623149,1.3500270004050055e-10,1.0,1.0,1.0,0.0
0.4,0.5,0.8719887568651661,1.3500270004050055e-10,1.0,1.0,1.0,0.0
0.4,0.6,1.040004453643959,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.7,1.2474029062976228,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.8,1.621924354411025,1.3500270004050055e-10,1.0,,1.0,0.0
0.4,0.9,2.970877397374573,1.3500270004050055e-10,1.0,,1.0,0.0
0.5,0.5,0.6201145069582774,1.1250225003375047e-10,1.0,1.0,1.0,0.0
0.5,0.6,0.7441312242084209,1.1250225003375047e-10,1.0,1.0,1.0,0.0
0.5,0.7,0.9109181462991321,1.1250225003375047e-10,1.0,1.0,1.0,0.0
0.5,0.8,1.24047842129593,1.1250225003375047e-10,1.0,,1.0,0.0
0.5,0.9,2.41573522184363,1.1250225003375047e-10,1.0,,1.0,0.0
0.6,0.6,0.5231371636115855,9.000180002700038e-11,1.0,1.0,1.0,0.0
